Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Score,Time (s)
Logistic Regression,0.7517006802721088,0.3673469387755102,0.7659574468085106,0.496551724137931,0.8073908174692048,0.7440822214208438,0.018942832946777344
Random Forest,0.8197278911564626,0.39285714285714285,0.23404255319148937,0.29333333333333333,0.7764665345852356,0.856307248467364,0.2392897605895996
Gradient Boosting,0.8401360544217688,0.5,0.19148936170212766,0.27692307692307694,0.7814626582823672,0.858002163721601,0.655651330947876
